ts_code,cost_price,price
CLC1000M,,8.95
CLC1000C,,8.95
CLC1000BK,,13.82
CCN684E,,14.64
CCB325E,,13.01
CCB324E,,13.01
CCB323E,,13.01
CCD975AE,,24.39
CCD974AE,,9.76
CCD973AE,,9.76
CCD972AE,,9.76
CC9396A,,32.52
CC8775EE,,9.76
CC8774EE,,9.76
CC8773EE,,9.76
CC8772EE,,9.76
CC8771EE,,9.76
CT18144010,,12.20
CT18134010,,12.20
CCLI526C,,9.76
CT7012,,8.95
CT12834010,,8.13
CT048340,,16.26
CT048240,,16.26
CT7011,,8.95
CC13T12944011,,11.39
CC13T12934011,,11.39
CC13T12924011,,11.39
CC13T12914011,,11.39
CT12854010,,8.13
CT12844010,,8.13
CT12824010,,8.13
CT12814010,,8.13
CCL513,,17.89
CT061440,,9.76
CCLI521BK,,9.76
CT061240,,9.76
CT061140,,9.76
CCLI526BK,,9.76
CLC127BK,,21.95
CLC125Y,,14.64
CLC125M,,14.64
CLC125C,,14.64
CK10COL,,14.64
CK10XLBLK,,12.20
CK30XLBLK,,12.20
CK30XLCL,,14.64
C765-9RN,,48.78
C620-1RN,,73.17
CT2634,,12.20
CT2633,,12.20
CT2632,,12.20
CT2631,,12.20
CC13T26214010,,14.64
CT1634,,12.20
CT1633,,12.20
CT1632,,12.20
CT1631,,14.64
CT055440,,8.95
CT055340,,8.95
CT055240,,8.95
CT055140,,8.95
CCLI551GY,,11.39
CCLI551Y,,11.39
CCLI551M,,11.39
CCLI551C,,11.39
CCLI551BK,,11.39
CCLI526GRY,,9.76
CCLI526Y,,9.76
CCLI526M,,9.76
CPGI520K,,12.20
CCLI8PM,,10.57
CCLI8PC,,10.57
CCLI8Y,,10.57
CCLI8M,,10.57
CCLI8C,,10.57
CPGI5BK,,12.20
CCLI8BK,,10.57
CCN628AE,,81.30
CCN627AE,,81.30
CCN626AE,,81.30
CCN625AE,,81.30
CCLI521GY,,9.76
CCLI521Y,,9.76
CCLI521M,,9.76
CPGI550,,12.20
CBCI6PM,,9.76
CBCI6PC,,9.76
CBCI6Y,,9.76
CBCI6M,,9.76
CBCI6C,,9.76
CBCI6BK,,9.76
CPGI525BK,,12.20
CPG512,,14.64
CLC121MP,,32.52
CJ3M83AE,,40.65
CLC223Y,,9.76
CLC223M,,9.76
CLC223C,,9.76
CLC223BK,,14.64
CCD976AE,,101.63
CC2P23AE,,19.52
CC2P24AE,,12.20
CC2P25AE,,12.20
CC2P26AE,,12.20
CPGI1500XLBK,,19.52
CPGI1500XLC,,13.01
CPGI1500XLM,,13.01
CPGI1500XLY,,13.01
CC13T27144010,,17.89
CC13T27134010,,17.89
CC13T27124010,,17.89
CC13T27114010,,21.95
C405691,,20.33
C405690,,20.33
C405689,,20.33
C405688,,16.26
CQ6511A,,56.91
CQ5949X,,56.91
CQ5949A,,36.59
CQ2610A,,52.85
CQ2612A,,36.59
CQ2612X,,44.72
CQ1338A,,65.04
CDR6000,,65.04
CDR3200,,70.73
CDR2200,,40.65
CCF283A,,32.52
CCF280X,,77.24
CCF280A,,52.85
CCE505X,,65.04
CCE505A,,40.65
CCE285A,,32.52
CCE285X,,40.65
CCC364X,,113.82
CCC364A,,69.11
CCB390A,,69.11
CC8543X,,130.08
CC8061X,,52.85
CC7115X,,36.59
CC7115A,,32.52
CC4129X,,60.98
CC4127X,,52.85
CC4096A,,40.65
CC4092A,,28.46
CQ7570A,,89.43
